方劑名,組成,傷寒論主治,治療意圖
桂枝湯,桂枝3兩/芍藥3兩/甘草2兩/生薑3兩/大棗3.6兩,調和營衛,
桂枝加葛根湯,葛根4兩/桂枝2兩/芍藥2兩/生薑3兩/甘草2兩/大棗3.6兩/麻黃3兩,解肌升津,發汗解肌
桂枝加附子湯,桂枝3兩/芍藥3兩/甘草3兩/生薑3兩/大棗3.6兩/附子0.3兩,溫陽固表,扶陽固表
桂枝去芍藥湯,桂枝3兩/甘草2兩/生薑3兩/大棗3.6兩,太陽病,解表益陽
桂枝去芍藥加附子湯,桂枝3兩/甘草2兩/生薑3兩/大棗3.6兩/附子0.3兩,太陽病陽虛,溫經復陽
桂枝麻黃各半湯,桂枝1兩/芍藥1兩/生薑1兩/甘草1兩/麻黃1兩/大棗1.2兩/杏仁7.2兩,輕度太陽病,小發汗
桂枝二麻黃一湯,桂枝1兩/芍藥1兩/麻黃0.67兩/生薑1兩/杏仁0.32兩/甘草1兩/大棗1.5兩,太陽病,微發汗
白虎加人參湯,知母6兩/石膏16兩/甘草2兩/粳米3.0兩/人參3兩,陽明病熱盛津傷,清熱益氣生津
桂枝二越婢一湯,桂枝0.75兩/芍藥0.75兩/麻黃0.75兩/甘草0.75兩/大棗1.2兩/生薑1兩/石膏1.0兩,太陽陽明,解表清熱
桂枝去桂加茯苓白朮湯,芍藥3兩/甘草2兩/生薑3兩/白朮3兩/茯苓3兩/大棗3.6兩,水停下焦,利水健脾
甘草乾薑湯,甘草4兩/乾薑2兩,中焦虛寒,溫中復陽
芍藥甘草湯,芍藥4兩/甘草4兩,陰虛腳攣,柔肝緩急
調胃承氣湯,甘草2兩/芒硝2.5兩/大黃4兩,陽明燥實,瀉熱通便
四逆湯,甘草2兩/乾薑1.5兩/附子0.3兩,少陰陽衰,急救回陽
葛根湯,葛根4兩/麻黃3兩/桂枝2兩/生薑3兩/甘草2兩/芍藥2兩/大棗3.6兩,太陽陽明合病,發汗升津
葛根加半夏湯,葛根4兩/麻黃3兩/甘草2兩/芍藥2兩/桂枝2兩/生薑2兩/半夏2.5兩/大棗3.6兩,太陽陽明嘔逆,發汗降逆
葛根黃芩黃連湯,葛根8兩/甘草2兩/黃芩3兩/黃連3兩,太陽陽明下利,解表清裏
麻黃湯,麻黃3兩/桂枝2兩/甘草1兩/杏仁1.4兩,太陽傷寒,發汗解表
大青龍湯,麻黃6兩/桂枝2兩/甘草2兩/杏仁12.0兩/生薑3兩/大棗3.0兩/石膏3兩,太陽陽明合病外寒內熱,大發汗清熱
小青龍湯,麻黃3兩/芍藥3兩/細辛3兩/乾薑3兩/甘草3兩/桂枝3兩/五味子2.5兩/半夏2.5兩,外寒內飲,發汗化飲
桂枝加厚朴杏子湯,桂枝3兩/甘草2兩/生薑3兩/芍藥3兩/大棗3.6兩/厚朴2兩/杏仁15.0兩,太陽病喘咳,解表平喘
乾薑附子湯,乾薑1兩/附子0.3兩,少陰陽衰,急救回陽
桂枝加芍藥生薑各一兩人參三兩新加湯,桂枝3兩/芍藥4兩/甘草2兩/人參3兩/大棗3.6兩/生薑4兩,汗後血虛,益氣養血
麻黃杏仁甘草石膏湯,麻黃4兩/杏仁1.0兩/甘草2兩/石膏8兩,肺熱咳喘,清肺平喘
桂枝甘草湯,桂枝4兩/甘草2兩,心陽虛,溫通心陽
茯苓桂枝甘草大棗湯,茯苓8兩/桂枝4兩/甘草2兩/大棗4.5兩,奔豚,溫陽平衝
厚朴生薑半夏甘草人參湯,厚朴8兩/生薑8兩/半夏2.5兩/甘草2兩/人參1兩,脾虛氣滯,健脾理氣
茯苓桂枝白朮甘草湯,茯苓4兩/桂枝3兩/白朮2兩/甘草2兩,水氣,溫陽利水
芍藥甘草附子湯,芍藥3兩/甘草3兩/附子0.3兩,陰陽兩虛,扶陽益陰
茯苓四逆湯,茯苓4兩/人參1兩/附子0.3兩/甘草2兩/乾薑1.5兩,陰陽兩虛,回陽救陰
五苓散,豬苓0.75兩/澤瀉1兩/白朮0.75兩/茯苓0.75兩/桂枝1.0兩,太陽蓄水,化氣利水
茯苓甘草湯,茯苓2兩/桂枝2兩/甘草1兩/生薑3兩,水氣,溫陽利水
梔子豉湯,梔子1.4兩/香豉2.0兩,虛煩,清胸中熱
梔子甘草豉湯,梔子1.4兩/甘草2兩/香豉2.0兩,虛煩,清熱益氣
梔子生薑豉湯,梔子1.4兩/生薑5兩/香豉2.0兩,虛煩嘔,清熱止嘔
梔子厚朴湯,梔子1.4兩/厚朴4兩/枳實1.2兩,食積虛煩,消食除滿
梔子乾薑湯,梔子1.4兩/乾薑2兩,上熱下寒,清上溫下
真武湯,茯苓3兩/芍藥3兩/生薑3兩/白朮2兩/附子0.3兩,少陰陽虛水腫,溫陽利水
小柴胡湯,柴胡8兩/黃芩3兩/人參3兩/半夏2.5兩/甘草3兩/生薑3兩/大棗3.6兩,少陽病,和解少陽
小建中湯,桂枝3兩/甘草2兩/大棗6.0兩/芍藥6兩/生薑3兩/膠飴5兩,中焦虛寒,建中補虛
大柴胡湯,柴胡8兩/黃芩3兩/芍藥3兩/半夏2.5兩/生薑5兩/枳實1.2兩/大棗3.6兩,少陽陽明,和解攻下
柴胡加芒硝湯,柴胡2兩/黃芩1兩/人參1兩/甘草1兩/生薑1兩/半夏0.83兩/大棗1.2兩/芒硝2兩,少陽陽明,和解通便
